#carbon12 inelastic
7	0.1975	0.015
7.2	0.22	0.015
7.4	0.245	0.015
7.6	0.27	0.015
7.8	0.3075	0.015
8	0.35	0.015
8.5	0.43	0.015
9	0.52	0.015
10	0.54	0.015
10.2	0.5425	0.015
11	0.55	0.015
11.5	0.5525	0.015
12	0.5575	0.015
12.5	0.56	0.015
13	0.565	0.015
14	0.5725	0.015
15	0.5825	0.015
16.6	0.236	0.021
19.3	0.357	0.026
21	0.49	0.04
21.9	0.354	0.015
24.6	0.324	0.015
25.5	0.44	0.04
27.4	0.378	0.029
29.2	0.45	0.04
31.6	0.303	0.022
34.4	0.428	0.034
37.6	0.307	0.023
41.2	0.338	0.025
44.6	0.295	0.025
47.9	0.215	0.027
50.9	0.309	0.035
52.8	0.28	0.031
54.8	0.301	0.033
55	0.278	0.054
56.9	0.291	0.032
58.9	0.327	0.036
61	0.2	0.013
61.1	0.226	0.024
63.5	0.259	0.027
66.2	0.231	0.024
69.1	0.269	0.028
72.3	0.232	0.024
76.1	0.284	0.029
80	0.261	0.027
81	0.202	0.02
83.5	0.259	0.026
87.5	0.245	0.025
91	0.206	0.025
95	0.223	0.007
96	0.206	0.021
101.5	0.193	0.019
105	0.234	0.008

