Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0724486	0.001000	0.0406937	0.001000	0.0397232	0.001000	0.0397232	0.001000	0.0270165	0.001000	0.0136772	
0.002000	0.0945714	0.002000	0.0578151	0.002000	0.0561355	0.002000	0.0561355	0.002000	0.0467524	0.002000	0.0110627	
0.005000	0.148051	0.005000	0.0988754	0.005000	0.0955848	0.005000	0.0955848	0.005000	0.0915846	0.005000	0.00729078	
0.008000	0.18778	0.008000	0.131041	0.008000	0.126534	0.008000	0.126534	0.008000	0.125443	0.008000	0.00559813	
0.010000	0.209542	0.010000	0.14939	0.010000	0.144198	0.010000	0.144198	0.010000	0.1445 	0.010000	0.00488985	
0.015000	0.267555	0.015000	0.186983	0.015000	0.181859	0.015000	0.181859	0.015000	0.183212	0.015000	0.00377098	
0.020000	0.31605	0.020000	0.216275	0.020000	0.213676	0.020000	0.213676	0.020000	0.213169	0.020000	0.00310588	
0.025000	0.357386	0.025000	0.23969	0.025000	0.241964	0.025000	0.241964	0.025000	0.237031	0.025000	0.0026589	
0.030000	0.392816	0.030000	0.258601	0.030000	0.259053	0.030000	0.259053	0.030000	0.256287	0.030000	0.00231385	
0.035000	0.423095	0.035000	0.273978	0.035000	0.27316	0.035000	0.27316	0.035000	0.271909	0.035000	0.00206985	
0.040000	0.448744	0.040000	0.28647	0.040000	0.284868	0.040000	0.284868	0.040000	0.284594	0.040000	0.00187672	
0.045000	0.470179	0.045000	0.296603	0.045000	0.294616	0.045000	0.294616	0.045000	0.294884	0.045000	0.00171963	
0.050000	0.487776	0.050000	0.304803	0.050000	0.302737	0.050000	0.302737	0.050000	0.303214	0.050000	0.00158907	
0.055000	0.501896	0.055000	0.311421	0.055000	0.309496	0.055000	0.309496	0.055000	0.309942	0.055000	0.00147867	
0.060000	0.512898	0.060000	0.316748	0.060000	0.315111	0.060000	0.315111	0.060000	0.315364	0.060000	0.00138394	
0.070000	0.52697	0.070000	0.324456	0.070000	0.323594	0.070000	0.323594	0.070000	0.323227	0.070000	0.00122951	
0.080000	0.532728	0.080000	0.329389	0.080000	0.329307	0.080000	0.329307	0.080000	0.328281	0.080000	0.00110862	
0.090000	0.532592	0.090000	0.332516	0.090000	0.333049	0.090000	0.333049	0.090000	0.331505	0.090000	0.00101116	
0.100000	0.528545	0.100000	0.334461	0.100000	0.335391	0.100000	0.335391	0.100000	0.33353	0.100000	0.000930747	
0.120000	0.514337	0.120000	0.336225	0.120000	0.337353	0.120000	0.337353	0.120000	0.335419	0.120000	0.000805479	
0.140000	0.497555	0.140000	0.336338	0.140000	0.337143	0.140000	0.337143	0.140000	0.335626	0.140000	0.000712048	
0.160000	0.481373	0.160000	0.335426	0.160000	0.335691	0.160000	0.335691	0.160000	0.334787	0.160000	0.000639442	
0.180000	0.466789	0.180000	0.333743	0.180000	0.333438	0.180000	0.333438	0.180000	0.333162	0.180000	0.000581251	
0.200000	0.453878	0.200000	0.331421	0.200000	0.330611	0.200000	0.330611	0.200000	0.330888	0.200000	0.000533478	
0.250000	0.427226	0.250000	0.323417	0.250000	0.321785	0.250000	0.321785	0.250000	0.322973	0.250000	0.000444323	
0.300000	0.40546	0.300000	0.31326	0.300000	0.311344	0.300000	0.311344	0.300000	0.312878	0.300000	0.000382211	
0.350000	0.386271	0.350000	0.301982	0.350000	0.300104	0.350000	0.300104	0.350000	0.301646	0.350000	0.000336265	
0.400000	0.368696	0.400000	0.290329	0.400000	0.288646	0.400000	0.288646	0.400000	0.290029	0.400000	0.000300792	
0.450000	0.352373	0.450000	0.278789	0.450000	0.277361	0.450000	0.277361	0.450000	0.278516	0.450000	0.000272514	
0.500000	0.337167	0.500000	0.267649	0.500000	0.266487	0.500000	0.266487	0.500000	0.267399	0.500000	0.000249403	
0.600000	0.309842	0.600000	0.247109	0.600000	0.246427	0.600000	0.246427	0.600000	0.246895	0.600000	0.000213807	
0.700000	0.28625	0.700000	0.229109	0.700000	0.2288 	0.700000	0.2288 	0.700000	0.228921	0.700000	0.000187591	
0.800000	0.265881	0.800000	0.213489	0.800000	0.21345	0.800000	0.21345	0.800000	0.213321	0.800000	0.000167422	
0.900000	0.248226	0.900000	0.199927	0.900000	0.200079	0.900000	0.200079	0.900000	0.199775	0.900000	0.000151391	
1.000000	0.232825	1.000000	0.188092	1.000000	0.188376	1.000000	0.188376	1.000000	0.187954	1.000000	0.000138323	
1.250000	0.201834	1.250000	0.164273	1.250000	0.164718	1.250000	0.164718	1.250000	0.164159	1.250000	0.000114166	
1.500000	0.178434	1.500000	0.146273	1.500000	0.146751	1.500000	0.146751	1.500000	0.146175	1.500000	9.75269e-05	
1.750000	0.160106	1.750000	0.132148	1.750000	0.132601	1.750000	0.132601	1.750000	0.132063	1.750000	8.53255e-05	
