Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.120926	0.001000	0.0219966	0.001000	0.0201617	0.001000	0.0201617	0.001000	0.0178752	0.001000	0.00412144	
0.002000	0.157852	0.002000	0.0350314	0.002000	0.0318561	0.002000	0.0318561	0.002000	0.0309332	0.002000	0.00409827	
0.005000	0.247117	0.005000	0.0641459	0.005000	0.0579254	0.005000	0.0579254	0.005000	0.0605959	0.005000	0.00355003	
0.008000	0.31343	0.008000	0.0860874	0.008000	0.0775672	0.008000	0.0775672	0.008000	0.0829977	0.008000	0.00308968	
0.010000	0.349754	0.010000	0.0984559	0.010000	0.0886413	0.010000	0.0886413	0.010000	0.095607	0.010000	0.00284883	
0.015000	0.446585	0.015000	0.125669	0.015000	0.112076	0.015000	0.112076	0.015000	0.123268	0.015000	0.00240095	
0.020000	0.52753	0.020000	0.14571	0.020000	0.131769	0.020000	0.131769	0.020000	0.14362	0.020000	0.00209048	
0.025000	0.596526	0.025000	0.163855	0.025000	0.149236	0.025000	0.149236	0.025000	0.161994	0.025000	0.00186092	
0.030000	0.655663	0.030000	0.180577	0.030000	0.179303	0.030000	0.179303	0.030000	0.178894	0.030000	0.00168317	
0.035000	0.706202	0.035000	0.195697	0.035000	0.199107	0.035000	0.199107	0.035000	0.194156	0.035000	0.00154079	
0.040000	0.749014	0.040000	0.209193	0.040000	0.212883	0.040000	0.212883	0.040000	0.207769	0.040000	0.00142374	
0.045000	0.784792	0.045000	0.22117	0.045000	0.223741	0.045000	0.223741	0.045000	0.219844	0.045000	0.00132553	
0.050000	0.814163	0.050000	0.231778	0.050000	0.233069	0.050000	0.233069	0.050000	0.230537	0.050000	0.00124175	
0.055000	0.837731	0.055000	0.241174	0.055000	0.241396	0.055000	0.241396	0.055000	0.240004	0.055000	0.0011693	
0.060000	0.856095	0.060000	0.249498	0.060000	0.248926	0.060000	0.248926	0.060000	0.248392	0.060000	0.00110592	
0.070000	0.879584	0.070000	0.263417	0.070000	0.261922	0.070000	0.261922	0.070000	0.262416	0.070000	0.00100008	
0.080000	0.889194	0.080000	0.274333	0.080000	0.272489	0.080000	0.272489	0.080000	0.273418	0.080000	0.00091492	
0.090000	0.888967	0.090000	0.282835	0.090000	0.28095	0.090000	0.28095	0.090000	0.281991	0.090000	0.000844709	
