Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0374577	0.001000	0.0391334	0.001000	0.047332	0.001000	0.047332	0.001000	0.0241994	0.001000	0.014934	
0.002000	0.0488957	0.002000	0.0503158	0.002000	0.0606716	0.002000	0.0606716	0.002000	0.0394845	0.002000	0.0108314	
0.005000	0.0765461	0.005000	0.0780029	0.005000	0.090276	0.005000	0.090276	0.005000	0.0716288	0.005000	0.00637405	
0.008000	0.0970868	0.008000	0.099036	0.008000	0.111204	0.008000	0.111204	0.008000	0.0943619	0.008000	0.00467419	
0.010000	0.108338	0.010000	0.110727	0.010000	0.122444	0.010000	0.122444	0.010000	0.106718	0.010000	0.00400913	
0.015000	0.138332	0.015000	0.134095	0.015000	0.145054	0.015000	0.145054	0.015000	0.131107	0.015000	0.00298829	
0.020000	0.163406	0.020000	0.153105	0.020000	0.163082	0.020000	0.163082	0.020000	0.150693	0.020000	0.00241188	
0.025000	0.184777	0.025000	0.169324	0.025000	0.178514	0.025000	0.178514	0.025000	0.167285	0.025000	0.0020391	
0.030000	0.203096	0.030000	0.183555	0.030000	0.190458	0.030000	0.190458	0.030000	0.181781	0.030000	0.00177387	
0.035000	0.21875	0.035000	0.196262	0.035000	0.200964	0.035000	0.200964	0.035000	0.194688	0.035000	0.00157454	
0.040000	0.232012	0.040000	0.207732	0.040000	0.210356	0.040000	0.210356	0.040000	0.206313	0.040000	0.00141871	
0.045000	0.243094	0.045000	0.21815	0.045000	0.218842	0.045000	0.218842	0.045000	0.216856	0.045000	0.00129321	
0.050000	0.252192	0.050000	0.227643	0.050000	0.226565	0.050000	0.226565	0.050000	0.226454	0.050000	0.00118976	
0.055000	0.259492	0.055000	0.236304	0.055000	0.233622	0.055000	0.233622	0.055000	0.235201	0.055000	0.00110288	
0.060000	0.265181	0.060000	0.2442 	0.060000	0.240087	0.060000	0.240087	0.060000	0.243171	0.060000	0.00102878	
0.070000	0.272457	0.070000	0.257903	0.070000	0.251443	0.070000	0.251443	0.070000	0.256994	0.070000	0.000908849	
0.080000	0.275433	0.080000	0.269095	0.080000	0.260951	0.080000	0.260951	0.080000	0.268279	0.080000	0.000815737	
0.090000	0.275363	0.090000	0.278056	0.090000	0.268832	0.090000	0.268832	0.090000	0.277315	0.090000	0.000741168	
0.100000	0.27327	0.100000	0.285038	0.100000	0.275261	0.100000	0.275261	0.100000	0.284358	0.100000	0.000679988	
0.120000	0.265925	0.120000	0.294009	0.120000	0.284352	0.120000	0.284352	0.120000	0.293424	0.120000	0.000585312	
0.140000	0.257248	0.140000	0.297749	0.140000	0.289277	0.140000	0.289277	0.140000	0.297234	0.140000	0.000515215	
0.160000	0.248882	0.160000	0.297725	0.160000	0.290944	0.160000	0.290944	0.160000	0.297264	0.160000	0.000461061	
0.180000	0.241341	0.180000	0.295094	0.180000	0.290125	0.180000	0.290125	0.180000	0.294676	0.180000	0.000417866	
0.200000	0.234666	0.200000	0.290727	0.200000	0.287464	0.200000	0.287464	0.200000	0.290345	0.200000	0.000382548	
0.250000	0.220886	0.250000	0.275931	0.250000	0.275885	0.250000	0.275885	0.250000	0.275614	0.250000	0.000316997	
0.300000	0.209633	0.300000	0.259515	0.300000	0.261165	0.300000	0.261165	0.300000	0.259243	0.300000	0.000271627	
0.350000	0.199712	0.350000	0.243708	0.350000	0.246006	0.350000	0.246006	0.350000	0.24347	0.350000	0.000238231	
0.400000	0.190625	0.400000	0.229238	0.400000	0.231602	0.400000	0.231602	0.400000	0.229025	0.400000	0.000212551	
0.450000	0.182186	0.450000	0.216238	0.450000	0.218398	0.450000	0.218398	0.450000	0.216046	0.450000	0.000192148	
0.500000	0.174323	0.500000	0.204624	0.500000	0.206484	0.500000	0.206484	0.500000	0.204449	0.500000	0.00017552	
0.600000	0.160196	0.600000	0.184944	0.600000	0.186224	0.600000	0.186224	0.600000	0.184794	0.600000	0.000149998	
0.700000	0.147998	0.700000	0.169004	0.700000	0.169884	0.700000	0.169884	0.700000	0.168873	0.700000	0.000131273	
0.800000	0.137467	0.800000	0.155862	0.800000	0.156515	0.800000	0.156515	0.800000	0.155746	0.800000	0.000116914	
0.900000	0.128339	0.900000	0.144837	0.900000	0.145385	0.900000	0.145385	0.900000	0.144731	0.900000	0.00010553	
1.000000	0.120376	1.000000	0.135441	1.000000	0.135963	1.000000	0.135963	1.000000	0.135344	1.000000	9.62708e-05	
1.250000	0.104353	1.250000	0.117  	1.250000	0.117614	1.250000	0.117614	1.250000	0.116921	1.250000	7.92085e-05	
1.500000	0.0922545	1.500000	0.103366	1.500000	0.104128	1.500000	0.104128	1.500000	0.103298	1.500000	6.74995e-05	
1.750000	0.0827787	1.750000	0.0927962	1.750000	0.0936896	1.750000	0.0936896	1.750000	0.0927373	1.750000	5.89382e-05	
2.000000	0.0751418	2.000000	0.0843221	2.000000	0.0853154	2.000000	0.0853154	2.000000	0.0842697	2.000000	5.23907e-05	
2.250000	0.0688474	2.250000	0.0773555	2.250000	0.0784193	2.250000	0.0784193	2.250000	0.0773083	2.250000	4.72123e-05	
2.500000	0.0625012	2.500000	0.0715163	2.500000	0.0726268	2.500000	0.0726268	2.500000	0.0714733	2.500000	4.30085e-05	
3.000000	0.0545541	3.000000	0.0622599	3.000000	0.0634139	3.000000	0.0634139	3.000000	0.0622234	3.000000	3.65866e-05	
3.500000	0.0485299	3.500000	0.0552393	3.500000	0.056396	3.500000	0.056396	3.500000	0.0552074	3.500000	3.19008e-05	
4.000000	0.043792	4.000000	0.0497242	4.000000	0.0508619	4.000000	0.0508619	4.000000	0.0496958	4.000000	2.8323e-05	
4.500000	0.0399599	4.500000	0.0452726	4.500000	0.0463803	4.500000	0.0463803	4.500000	0.0452471	4.500000	2.54974e-05	
5.000000	0.0367912	5.000000	0.0416006	5.000000	0.042673	5.000000	0.042673	5.000000	0.0415774	5.000000	2.32064e-05	
5.500000	0.034124	5.500000	0.0385172	5.500000	0.0395525	5.500000	0.0395525	5.500000	0.0384959	5.500000	2.13095e-05	
6.000000	0.0318454	6.000000	0.0358894	6.000000	0.0368872	6.000000	0.0368872	6.000000	0.0358697	6.000000	1.97118e-05	
6.500000	0.0298747	6.500000	0.0336213	6.500000	0.0345826	6.500000	0.0345826	6.500000	0.0336029	6.500000	1.83467e-05	
