Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0276173	0.001000	0.0344409	0.001000	0.0427462	0.001000	0.0427462	0.001000	0.0228283	0.001000	0.0116127	
0.002000	0.0360505	0.002000	0.0449758	0.002000	0.0550192	0.002000	0.0550192	0.002000	0.0368591	0.002000	0.00811677	
0.005000	0.056437	0.005000	0.0704831	0.005000	0.0810943	0.005000	0.0810943	0.005000	0.0658823	0.005000	0.00460078	
0.008000	0.0715815	0.008000	0.0894315	0.008000	0.0987086	0.008000	0.0987086	0.008000	0.0860954	0.008000	0.00333605	
0.010000	0.0798773	0.010000	0.099833	0.010000	0.107913	0.010000	0.107913	0.010000	0.0969868	0.010000	0.00284626	
0.015000	0.101992	0.015000	0.122067	0.015000	0.125953	0.015000	0.125953	0.015000	0.119966	0.015000	0.00210113	
0.020000	0.120478	0.020000	0.140182	0.020000	0.139945	0.020000	0.139945	0.020000	0.13849	0.020000	0.00169136	
0.025000	0.136235	0.025000	0.155625	0.025000	0.151688	0.025000	0.151688	0.025000	0.1542 	0.025000	0.00142476	
0.030000	0.149741	0.030000	0.169146	0.030000	0.162871	0.030000	0.162871	0.030000	0.16791	0.030000	0.0012361	
0.035000	0.161283	0.035000	0.181171	0.035000	0.172699	0.035000	0.172699	0.035000	0.180077	0.035000	0.00109489	
0.040000	0.171061	0.040000	0.191961	0.040000	0.181452	0.040000	0.181452	0.040000	0.190977	0.040000	0.000984833	
0.045000	0.179232	0.045000	0.201684	0.045000	0.189313	0.045000	0.189313	0.045000	0.200787	0.045000	0.000896426	
0.050000	0.18594	0.050000	0.210452	0.050000	0.19641	0.050000	0.19641	0.050000	0.209628	0.050000	0.000823705	
0.055000	0.191322	0.055000	0.218349	0.055000	0.202832	0.055000	0.202832	0.055000	0.217586	0.055000	0.000762738	
0.060000	0.195516	0.060000	0.225438	0.060000	0.20865	0.060000	0.20865	0.060000	0.224727	0.060000	0.000710822	
0.070000	0.200881	0.070000	0.237387	0.070000	0.218673	0.070000	0.218673	0.070000	0.236761	0.070000	0.00062696	
0.080000	0.203075	0.080000	0.246652	0.080000	0.226807	0.080000	0.226807	0.080000	0.24609	0.080000	0.000561994	
0.090000	0.203024	0.090000	0.253547	0.090000	0.233295	0.090000	0.233295	0.090000	0.253037	0.090000	0.000510059	
0.100000	0.201481	0.100000	0.258376	0.100000	0.238335	0.100000	0.238335	0.100000	0.257908	0.100000	0.000467514	
0.120000	0.196065	0.120000	0.263008	0.120000	0.244762	0.120000	0.244762	0.120000	0.262607	0.120000	0.000401796	
0.140000	0.189668	0.140000	0.262702	0.140000	0.247299	0.140000	0.247299	0.140000	0.262349	0.140000	0.000353239	
0.160000	0.183499	0.160000	0.259191	0.160000	0.246946	0.160000	0.246946	0.160000	0.258875	0.160000	0.000315786	
0.180000	0.177939	0.180000	0.253743	0.180000	0.244514	0.180000	0.244514	0.180000	0.253457	0.180000	0.000285953	
0.200000	0.173018	0.200000	0.247229	0.200000	0.240642	0.200000	0.240642	0.200000	0.246968	0.200000	0.000261588	
0.250000	0.162858	0.250000	0.229515	0.250000	0.227566	0.250000	0.227566	0.250000	0.229299	0.250000	0.000216438	
0.300000	0.154561	0.300000	0.21255	0.300000	0.212951	0.300000	0.212951	0.300000	0.212365	0.300000	0.000185245	
0.350000	0.147246	0.350000	0.197454	0.350000	0.198835	0.350000	0.198835	0.350000	0.197291	0.350000	0.000162319	
0.400000	0.140546	0.400000	0.18429	0.400000	0.185949	0.400000	0.185949	0.400000	0.184145	0.400000	0.00014471	
0.450000	0.134324	0.450000	0.172836	0.450000	0.17445	0.450000	0.17445	0.450000	0.172706	0.450000	0.000130733	
0.500000	0.128528	0.500000	0.162825	0.500000	0.164269	0.500000	0.164269	0.500000	0.162706	0.500000	0.000119351	
0.600000	0.118111	0.600000	0.146211	0.600000	0.147266	0.600000	0.147266	0.600000	0.146109	0.600000	0.0001019	
0.700000	0.109118	0.700000	0.132989	0.700000	0.133755	0.700000	0.133755	0.700000	0.1329 	0.700000	8.9111e-05	
0.800000	0.101354	0.800000	0.122201	0.800000	0.122795	0.800000	0.122795	0.800000	0.122121	0.800000	7.93125e-05	
0.900000	0.0946234	0.900000	0.11321	0.900000	0.11372	0.900000	0.11372	0.900000	0.113139	0.900000	7.1551e-05	
1.000000	0.0887527	1.000000	0.105586	1.000000	0.106069	1.000000	0.106069	1.000000	0.105521	1.000000	6.52419e-05	
1.250000	0.076939	1.250000	0.0907067	1.250000	0.0912458	1.250000	0.0912458	1.250000	0.090653	1.250000	5.36271e-05	
1.500000	0.0680187	1.500000	0.0797702	1.500000	0.0804217	1.500000	0.0804217	1.500000	0.0797245	1.500000	4.56653e-05	
1.750000	0.0610323	1.750000	0.0713307	1.750000	0.0720932	1.750000	0.0720932	1.750000	0.0712908	1.750000	3.9849e-05	
2.000000	0.0554016	2.000000	0.0645897	2.000000	0.0654463	2.000000	0.0654463	2.000000	0.0645543	2.000000	3.54041e-05	
2.250000	0.0507608	2.250000	0.0590661	2.250000	0.0599981	2.250000	0.0599981	2.250000	0.0590342	2.250000	3.18907e-05	
2.500000	0.0460818	2.500000	0.0544501	2.500000	0.0554406	2.500000	0.0554406	2.500000	0.0544211	2.500000	2.904e-05	
3.000000	0.0402224	3.000000	0.0471605	3.000000	0.0482291	3.000000	0.0482291	3.000000	0.0471358	3.000000	2.4688e-05	
3.500000	0.0357808	3.500000	0.0416566	3.500000	0.0427673	3.500000	0.0427673	3.500000	0.0416351	3.500000	2.15149e-05	
4.000000	0.0322876	4.000000	0.0373499	4.000000	0.03848	4.000000	0.03848	4.000000	0.0373308	4.000000	1.90936e-05	
4.500000	0.0294622	4.500000	0.0338857	4.500000	0.0350212	4.500000	0.0350212	4.500000	0.0338685	4.500000	1.71823e-05	
5.000000	0.027126	5.000000	0.0310371	5.000000	0.0321689	5.000000	0.0321689	5.000000	0.0310215	5.000000	1.56332e-05	
5.500000	0.0251594	5.500000	0.028652	5.500000	0.0297743	5.500000	0.0297743	5.500000	0.0286376	5.500000	1.43512e-05	
6.000000	0.0234794	6.000000	0.0266245	6.000000	0.0277338	6.000000	0.0277338	6.000000	0.0266112	6.000000	1.32717e-05	
6.500000	0.0220264	6.500000	0.0248788	6.500000	0.0259728	6.500000	0.0259728	6.500000	0.0248664	6.500000	1.23497e-05	
7.000000	0.0207564	7.000000	0.0233591	7.000000	0.0244366	7.000000	0.0244366	7.000000	0.0233476	7.000000	1.15526e-05	
7.500000	0.0196361	7.500000	0.0220236	7.500000	0.0230837	7.500000	0.0230837	7.500000	0.0220127	7.500000	1.08563e-05	
8.000000	0.01864	8.000000	0.0208401	8.000000	0.0218826	8.000000	0.0218826	8.000000	0.0208298	8.000000	1.02426e-05	
8.500000	0.0177482	8.500000	0.0197836	8.500000	0.0208084	8.500000	0.0208084	8.500000	0.0197739	8.500000	9.69734e-06	
9.000000	0.0169447	9.000000	0.0188343	9.000000	0.0198416	9.000000	0.0198416	9.000000	0.0188251	9.000000	9.2096e-06	
9.500000	0.0162169	9.500000	0.0179765	9.500000	0.0189665	9.500000	0.0189665	9.500000	0.0179677	9.500000	8.77058e-06	
10.000000	0.0155542	10.000000	0.0178042	10.000000	0.0181703	10.000000	0.0181703	10.000000	0.0177958	10.000000	8.37324e-06	
11.000000	0.0143917	11.000000	0.0164934	11.000000	0.0167575	11.000000	0.0167584	11.000000	0.0164857	11.000000	7.68162e-06	
12.000000	0.0134045	12.000000	0.0153756	12.000000	0.0155616	12.000000	0.0155631	12.000000	0.0153685	12.000000	7.09971e-06	
13.000000	0.012555	13.000000	0.0144105	13.000000	0.0145361	13.000000	0.0145378	13.000000	0.0144039	13.000000	6.60302e-06	
14.000000	0.0118158	14.000000	0.0135683	14.000000	0.0136468	14.000000	0.0136485	14.000000	0.0135621	14.000000	6.17389e-06	
15.000000	0.0111664	15.000000	0.0128266	15.000000	0.012868	15.000000	0.0128696	15.000000	0.0128208	15.000000	5.79923e-06	
16.000000	0.010591	16.000000	0.0121682	16.000000	0.0121804	16.000000	0.0121819	16.000000	0.0121627	16.000000	5.46917e-06	
17.000000	0.0100775	17.000000	0.0115796	17.000000	0.011569	17.000000	0.0115704	17.000000	0.0115744	17.000000	5.17609e-06	
18.000000	0.00961626	18.000000	0.01105	18.000000	0.011022	18.000000	0.011023	18.000000	0.0110451	18.000000	4.91403e-06	
19.000000	0.00919949	19.000000	0.0105709	19.000000	0.0105296	19.000000	0.0105303	19.000000	0.0105662	19.000000	4.67825e-06	
20.000000	0.00882096	20.000000	0.0101353	20.000000	0.0100839	20.000000	0.0100847	20.000000	0.0101308	20.000000	4.46493e-06	
