Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0537268	0.001000	0.0298658	0.001000	0.0288917	0.001000	0.0288917	0.001000	0.0271127	0.001000	0.00275311	
0.002000	0.065309	0.002000	0.0393502	0.002000	0.0380195	0.002000	0.0380195	0.002000	0.0370371	0.002000	0.00231317	
0.005000	0.0867797	0.005000	0.0575316	0.005000	0.0555217	0.005000	0.0555217	0.005000	0.0559384	0.005000	0.0015932	
0.008000	0.101251	0.008000	0.0703595	0.008000	0.0678762	0.008000	0.0678762	0.008000	0.0691136	0.008000	0.00124587	
0.010000	0.10908	0.010000	0.0775106	0.010000	0.074765	0.010000	0.074765	0.010000	0.076414	0.010000	0.00109656	
0.015000	0.131696	0.015000	0.091814	0.015000	0.0892703	0.015000	0.0892703	0.015000	0.0909579	0.015000	0.00085603	
0.020000	0.1502 	0.020000	0.102587	0.020000	0.101344	0.020000	0.101344	0.020000	0.101876	0.020000	0.000710362	
0.025000	0.165495	0.025000	0.110818	0.025000	0.111875	0.025000	0.111875	0.025000	0.110206	0.025000	0.000611324	
0.030000	0.178056	0.030000	0.117071	0.030000	0.117276	0.030000	0.117276	0.030000	0.116532	0.030000	0.000539009	
0.035000	0.188198	0.035000	0.121729	0.035000	0.121364	0.035000	0.121364	0.035000	0.12125	0.035000	0.000479017	
0.040000	0.196164	0.040000	0.1251 	0.040000	0.124398	0.040000	0.124398	0.040000	0.124664	0.040000	0.00043554	
0.045000	0.202174	0.045000	0.127421	0.045000	0.126565	0.045000	0.126565	0.045000	0.127021	0.045000	0.000400006	
0.050000	0.20644	0.050000	0.128894	0.050000	0.128018	0.050000	0.128018	0.050000	0.128524	0.050000	0.000370357	
0.055000	0.209169	0.055000	0.129689	0.055000	0.128886	0.055000	0.128886	0.055000	0.129344	0.055000	0.000345202	
0.060000	0.210565	0.060000	0.129948	0.060000	0.129275	0.060000	0.129275	0.060000	0.129624	0.060000	0.000323559	
0.070000	0.210137	0.070000	0.129306	0.070000	0.128961	0.070000	0.128961	0.070000	0.129017	0.070000	0.000288155	
0.080000	0.20659	0.080000	0.127672	0.080000	0.12764	0.080000	0.12764	0.080000	0.127411	0.080000	0.000260336	
0.090000	0.201102	0.090000	0.125501	0.090000	0.125702	0.090000	0.125702	0.090000	0.125263	0.090000	0.000237839	
0.100000	0.194567	0.100000	0.123075	0.100000	0.123418	0.100000	0.123418	0.100000	0.122856	0.100000	0.000219231	
0.120000	0.180657	0.120000	0.118063	0.120000	0.118459	0.120000	0.118459	0.120000	0.117873	0.120000	0.000190157	
0.140000	0.167611	0.140000	0.113277	0.140000	0.113548	0.140000	0.113548	0.140000	0.113108	0.140000	0.000168401	
0.160000	0.156285	0.160000	0.108882	0.160000	0.108968	0.160000	0.108968	0.160000	0.10873	0.160000	0.000151451	
0.180000	0.146715	0.180000	0.104883	0.180000	0.104787	0.180000	0.104787	0.180000	0.104745	0.180000	0.000137837	
0.200000	0.138663	0.200000	0.101239	0.200000	0.100992	0.200000	0.100992	0.200000	0.101113	0.200000	0.000126642	
0.250000	0.123371	0.250000	0.0933856	0.250000	0.0929141	0.250000	0.0929141	0.250000	0.0932799	0.250000	0.000105698	
0.300000	0.112468	0.300000	0.0868857	0.300000	0.0863542	0.300000	0.0863542	0.300000	0.0867946	0.300000	9.10677e-05	
0.350000	0.104095	0.350000	0.0813729	0.350000	0.0808667	0.350000	0.0808667	0.350000	0.0812927	0.350000	8.02217e-05	
0.400000	0.0973057	0.400000	0.0766152	0.400000	0.0761708	0.400000	0.0761708	0.400000	0.0765434	0.400000	7.1834e-05	
0.450000	0.0915916	0.450000	0.0724554	0.450000	0.0720842	0.450000	0.0720842	0.450000	0.0723903	0.450000	6.51383e-05	
0.500000	0.0866596	0.500000	0.0687808	0.500000	0.0684823	0.500000	0.0684823	0.500000	0.0687211	0.500000	5.96597e-05	
0.600000	0.0784723	0.600000	0.0625694	0.600000	0.0623968	0.600000	0.0623968	0.600000	0.0625182	0.600000	5.12092e-05	
0.700000	0.0718731	0.700000	0.0575075	0.700000	0.0574299	0.700000	0.0574299	0.700000	0.0574626	0.700000	4.49755e-05	
0.800000	0.0663996	0.800000	0.0532937	0.800000	0.0532841	0.800000	0.0532841	0.800000	0.0532535	0.800000	4.01736e-05	
0.900000	0.0617682	0.900000	0.0497251	0.900000	0.049763	0.900000	0.049763	0.900000	0.0496888	0.900000	3.63528e-05	
1.000000	0.0577896	1.000000	0.0466597	1.000000	0.04673	1.000000	0.04673	1.000000	0.0466264	1.000000	3.32351e-05	
1.250000	0.0499035	1.250000	0.0405867	1.250000	0.0406967	1.250000	0.0406967	1.250000	0.0405593	1.250000	2.74651e-05	
1.500000	0.0440283	1.500000	0.0360625	1.500000	0.0361804	1.500000	0.0361804	1.500000	0.036039	1.500000	2.34847e-05	
1.750000	0.0394677	1.750000	0.0325467	1.750000	0.0326583	1.750000	0.0326583	1.750000	0.0325262	1.750000	2.05625e-05	
2.000000	0.0358166	2.000000	0.0297268	2.000000	0.029826	2.000000	0.029826	2.000000	0.0297085	2.000000	1.83202e-05	
2.250000	0.0328226	2.250000	0.0274087	2.250000	0.0274933	2.250000	0.0274933	2.250000	0.0273922	2.250000	1.65418e-05	
2.500000	0.0301896	2.500000	0.0254654	2.500000	0.025535	2.500000	0.025535	2.500000	0.0254503	2.500000	1.50946e-05	
3.000000	0.0263609	3.000000	0.0223805	3.000000	0.022422	3.000000	0.022422	3.000000	0.0223676	3.000000	1.28774e-05	
