Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	3.70441e-06	0.001000	8.27996e-06	0.001000	8.81526e-06	0.001000	8.81526e-06	0.001000	7.39851e-06	0.001000	8.81446e-07	
0.002000	4.50298e-06	0.002000	9.99137e-06	0.002000	9.99646e-06	0.002000	9.99646e-06	0.002000	9.42985e-06	0.002000	5.61516e-07	
0.005000	5.98337e-06	0.005000	1.32833e-05	0.005000	1.21519e-05	0.005000	1.21519e-05	0.005000	1.29952e-05	0.005000	2.88106e-07	
0.008000	6.98117e-06	0.008000	1.55201e-05	0.008000	1.35442e-05	0.008000	1.35442e-05	0.008000	1.53188e-05	0.008000	2.01222e-07	
0.010000	7.52092e-06	0.010000	1.67322e-05	0.010000	1.42775e-05	0.010000	1.42775e-05	0.010000	1.65632e-05	0.010000	1.69013e-07	
0.015000	9.0803e-06	0.015000	2.12236e-05	0.015000	1.5736e-05	0.015000	1.5736e-05	0.015000	2.11012e-05	0.015000	1.22409e-07	
0.020000	1.03561e-05	0.020000	2.48676e-05	0.020000	1.68749e-05	0.020000	1.68749e-05	0.020000	2.47706e-05	0.020000	9.69869e-08	
0.025000	1.14107e-05	0.025000	2.78219e-05	0.025000	1.78213e-05	0.025000	1.78213e-05	0.025000	2.77411e-05	0.025000	8.08037e-08	
0.030000	1.22768e-05	0.030000	3.01821e-05	0.030000	1.91438e-05	0.030000	1.91438e-05	0.030000	3.01126e-05	0.030000	6.95249e-08	
0.035000	1.2976e-05	0.035000	3.20215e-05	0.035000	2.02596e-05	0.035000	2.02596e-05	0.035000	3.19603e-05	0.035000	6.11787e-08	
0.040000	1.35253e-05	0.040000	3.34046e-05	0.040000	2.12007e-05	0.040000	2.12007e-05	0.040000	3.33499e-05	0.040000	5.47335e-08	
0.045000	1.39397e-05	0.045000	3.43916e-05	0.045000	2.19909e-05	0.045000	2.19909e-05	0.045000	3.4342e-05	0.045000	4.95945e-08	
0.050000	1.42338e-05	0.050000	3.50388e-05	0.050000	2.26492e-05	0.050000	2.26492e-05	0.050000	3.49934e-05	0.050000	4.53939e-08	
0.055000	1.4422e-05	0.055000	3.53989e-05	0.055000	2.31911e-05	0.055000	2.31911e-05	0.055000	3.5357e-05	0.055000	4.18912e-08	
0.060000	1.45182e-05	0.060000	3.55202e-05	0.060000	2.36297e-05	0.060000	2.36297e-05	0.060000	3.54812e-05	0.060000	3.89225e-08	
0.070000	1.44887e-05	0.070000	3.52141e-05	0.070000	2.42421e-05	0.070000	2.42421e-05	0.070000	3.518e-05	0.070000	3.41551e-08	
0.080000	1.42441e-05	0.080000	3.44061e-05	0.080000	2.45637e-05	0.080000	2.45637e-05	0.080000	3.43756e-05	0.080000	3.04868e-08	
0.090000	1.38658e-05	0.090000	3.33052e-05	0.090000	2.46565e-05	0.090000	2.46565e-05	0.090000	3.32776e-05	0.090000	2.75706e-08	
0.100000	1.34152e-05	0.100000	3.20559e-05	0.100000	2.45712e-05	0.100000	2.45712e-05	0.100000	3.20307e-05	0.100000	2.5193e-08	
