Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0461549 	0.001000	0.020492  	0.001000	0.0267505 	0.001000	0.0267505 	0.001000	0.0181298 	0.001000	0.00236223	
0.002000	0.0561048 	0.002000	0.0267741 	0.002000	0.0353234 	0.002000	0.0353234 	0.002000	0.024766  	0.002000	0.00200811	
0.005000	0.0745496 	0.005000	0.0388076 	0.005000	0.0517199 	0.005000	0.0517199 	0.005000	0.037405  	0.005000	0.00140266	
0.008000	0.0869817 	0.008000	0.0473185 	0.008000	0.0632719 	0.008000	0.0632719 	0.008000	0.046215  	0.008000	0.00110341	
0.010000	0.0937067 	0.010000	0.0520703 	0.010000	0.0697089 	0.010000	0.0697089 	0.010000	0.0510967 	0.010000	0.000973587	
0.015000	0.113136  	0.015000	0.0672678 	0.015000	0.0832568 	0.015000	0.0832568 	0.015000	0.0665047 	0.015000	0.000763085	
0.020000	0.129032  	0.020000	0.0804629 	0.020000	0.09453   	0.020000	0.09453   	0.020000	0.0798281 	0.020000	0.000634798	
0.025000	0.142171  	0.025000	0.0918808 	0.025000	0.10436   	0.025000	0.10436   	0.025000	0.0913335 	0.025000	0.000547237	
0.030000	0.152962  	0.030000	0.101653  	0.030000	0.111501  	0.030000	0.111501  	0.030000	0.10117   	0.030000	0.000483127	
0.035000	0.161675  	0.035000	0.109888  	0.035000	0.117338  	0.035000	0.117338  	0.035000	0.109454  	0.035000	0.00043388	
0.040000	0.168518  	0.040000	0.116693  	0.040000	0.12206   	0.040000	0.12206   	0.040000	0.116302  	0.040000	0.00039104	
0.045000	0.173682  	0.045000	0.122195  	0.045000	0.125826  	0.045000	0.125826  	0.045000	0.121836  	0.045000	0.000359415	
