Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.198841  	0.001000	0.217858  	0.001000	0.282567  	0.001000	0.282567  	0.001000	0.197565  	0.001000	0.0202932 	
0.002000	0.241706  	0.002000	0.26704   	0.002000	0.327129  	0.002000	0.327129  	0.002000	0.251809  	0.002000	0.0152314 	
0.005000	0.321168  	0.005000	0.356276  	0.005000	0.40145   	0.005000	0.40145   	0.005000	0.347016  	0.005000	0.00925922	
0.008000	0.374727  	0.008000	0.415949  	0.008000	0.447974  	0.008000	0.447974  	0.008000	0.409065  	0.008000	0.00688401	
0.010000	0.4037    	0.010000	0.448227  	0.010000	0.472329  	0.010000	0.472329  	0.010000	0.442293  	0.010000	0.00593354	
0.015000	0.487402  	0.015000	0.502117  	0.015000	0.520589  	0.015000	0.520589  	0.015000	0.497679  	0.015000	0.00443731	
0.020000	0.555886  	0.020000	0.544379  	0.020000	0.55825   	0.020000	0.55825   	0.020000	0.54077   	0.020000	0.00360913	
0.025000	0.61249   	0.025000	0.578784  	0.025000	0.589523  	0.025000	0.589523  	0.025000	0.575722  	0.025000	0.00306176	
0.030000	0.65898   	0.030000	0.607316  	0.030000	0.61219   	0.030000	0.61219   	0.030000	0.604646  	0.030000	0.00267025	
0.035000	0.696513  	0.035000	0.631176  	0.035000	0.630922  	0.035000	0.630922  	0.035000	0.628801  	0.035000	0.00237487	
0.040000	0.725996  	0.040000	0.651164  	0.040000	0.646443  	0.040000	0.646443  	0.040000	0.649021  	0.040000	0.00214326	
0.045000	0.74824   	0.045000	0.667861  	0.045000	0.65927   	0.045000	0.65927   	0.045000	0.665905  	0.045000	0.00195628	
