Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0204806	0.001000	0.0256984	0.001000	0.0340331	0.001000	0.0340331	0.001000	0.0229095	0.001000	0.00278888	
0.002000	0.0248957	0.002000	0.031154	0.002000	0.0391101	0.002000	0.0391101	0.002000	0.0291996	0.002000	0.00195434	
0.005000	0.0330803	0.005000	0.041354	0.005000	0.0478351	0.005000	0.0478351	0.005000	0.0402398	0.005000	0.00111416	
0.008000	0.0385969	0.008000	0.0482452	0.008000	0.0533565	0.008000	0.0533565	0.008000	0.0474349	0.008000	0.000810337	
0.010000	0.0415811	0.010000	0.0519804	0.010000	0.0562531	0.010000	0.0562531	0.010000	0.0512881	0.010000	0.000692311	
0.015000	0.0502024	0.015000	0.0600709	0.015000	0.0620004	0.015000	0.0620004	0.015000	0.0595587	0.015000	0.000512204	
0.020000	0.0572562	0.020000	0.0665994	0.020000	0.0664864	0.020000	0.0664864	0.020000	0.0661864	0.020000	0.00041303	
0.025000	0.0630864	0.025000	0.072043	0.025000	0.0702124	0.025000	0.0702124	0.025000	0.0716946	0.025000	0.000348343	
0.030000	0.067875	0.030000	0.0766497	0.030000	0.0737965	0.030000	0.0737965	0.030000	0.0763472	0.030000	0.000302487	
0.035000	0.0717408	0.035000	0.0805682	0.035000	0.0767902	0.035000	0.0767902	0.035000	0.0803001	0.035000	0.000268116	
0.040000	0.0747775	0.040000	0.0838974	0.040000	0.0792938	0.040000	0.0792938	0.040000	0.0836561	0.040000	0.000241304	
0.045000	0.0770687	0.045000	0.0867086	0.045000	0.0813801	0.045000	0.0813801	0.045000	0.0864889	0.045000	0.000219747	
0.050000	0.0786948	0.050000	0.0890574	0.050000	0.0831051	0.050000	0.0831051	0.050000	0.0888554	0.050000	0.000202003	
0.055000	0.0797351	0.055000	0.0909894	0.055000	0.0845138	0.055000	0.0845138	0.055000	0.0908022	0.055000	0.000187118	
0.060000	0.0802672	0.060000	0.0925438	0.060000	0.0856435	0.060000	0.0856435	0.060000	0.0923694	0.060000	0.000174436	
0.070000	0.0801041	0.070000	0.094658	0.070000	0.0871882	0.070000	0.0871882	0.070000	0.0945041	0.070000	0.000153938	
0.080000	0.0787519	0.080000	0.0956499	0.080000	0.0879478	0.080000	0.0879478	0.080000	0.0955119	0.080000	0.000138046	
0.090000	0.0766599	0.090000	0.0957381	0.090000	0.0880857	0.090000	0.0880857	0.090000	0.0956128	0.090000	0.000125335	
0.100000	0.0741689	0.100000	0.0951156	0.100000	0.0877338	0.100000	0.0877338	0.100000	0.0950007	0.100000	0.000114917	
0.120000	0.0688664	0.120000	0.092384	0.120000	0.0859718	0.120000	0.0859718	0.120000	0.0922852	0.120000	9.88142e-05	
0.140000	0.0638932	0.140000	0.0885006	0.140000	0.0833095	0.140000	0.0833095	0.140000	0.0884137	0.140000	8.69084e-05	
0.160000	0.0595756	0.160000	0.084154	0.160000	0.0801772	0.160000	0.0801772	0.160000	0.0840763	0.160000	7.77203e-05	
0.180000	0.0559277	0.180000	0.0797567	0.180000	0.0768552	0.180000	0.0768552	0.180000	0.0796863	0.180000	7.03984e-05	
0.200000	0.0528583	0.200000	0.0755332	0.200000	0.0735201	0.200000	0.0735201	0.200000	0.0754688	0.200000	6.44161e-05	
0.250000	0.0470291	0.250000	0.0662793	0.250000	0.0657164	0.250000	0.0657164	0.250000	0.066226	0.250000	5.33248e-05	
0.300000	0.0428726	0.300000	0.0589586	0.300000	0.0590698	0.300000	0.0590698	0.300000	0.0589129	0.300000	4.56574e-05	
