Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.06014e-05	0.001000	8.44152e-05	0.001000	0.000113211	0.001000	0.000113211	0.001000	5.12879e-05	0.001000	3.31272e-05	
0.002000	6.6053e-05	0.002000	0.000104204	0.002000	0.000142039	0.002000	0.000142039	0.002000	8.28107e-05	0.002000	2.13933e-05	
0.005000	0.000103406	0.005000	0.000159138	0.005000	0.000207883	0.005000	0.000207883	0.005000	0.000148017	0.005000	1.11207e-05	
0.008000	0.000131154	0.008000	0.000201237	0.008000	0.000253132	0.008000	0.000253132	0.008000	0.000193429	0.008000	7.80767e-06	
0.010000	0.000146354	0.010000	0.000224471	0.010000	0.000276832	0.010000	0.000276832	0.010000	0.000217899	0.010000	6.57173e-06	
0.015000	0.000186872	0.015000	0.000290949	0.015000	0.000323358	0.015000	0.000323358	0.015000	0.000286174	0.015000	4.77557e-06	
0.020000	0.000220744	0.020000	0.000347255	0.020000	0.000359419	0.020000	0.000359419	0.020000	0.000343463	0.020000	3.79156e-06	
0.025000	0.000249615	0.025000	0.000396438	0.025000	0.000389681	0.025000	0.000389681	0.025000	0.000393275	0.025000	3.16348e-06	
0.030000	0.000274361	0.030000	0.000440218	0.030000	0.000427674	0.030000	0.000427674	0.030000	0.000437493	0.030000	2.72491e-06	
0.035000	0.000295509	0.035000	0.000479638	0.035000	0.000461243	0.035000	0.000461243	0.035000	0.000477238	0.035000	2.3999e-06	
0.040000	0.000313423	0.040000	0.000515372	0.040000	0.000491156	0.040000	0.000491156	0.040000	0.000513223	0.040000	2.14862e-06	
0.045000	0.000328395	0.045000	0.000547877	0.045000	0.000517941	0.045000	0.000517941	0.045000	0.000545929	0.045000	1.94808e-06	
0.050000	0.000340685	0.050000	0.000577481	0.050000	0.000541982	0.050000	0.000541982	0.050000	0.000575697	0.050000	1.78402e-06	
0.055000	0.000350547	0.055000	0.000604428	0.055000	0.000563569	0.055000	0.000563569	0.055000	0.000602781	0.055000	1.64712e-06	
0.060000	0.000358231	0.060000	0.00062891	0.060000	0.00058293	0.060000	0.00058293	0.060000	0.000627379	0.060000	1.53102e-06	
0.070000	0.00036806	0.070000	0.000671097	0.070000	0.000615704	0.070000	0.000615704	0.070000	0.000669753	0.070000	1.34443e-06	
0.080000	0.000372081	0.080000	0.000705101	0.080000	0.00064152	0.080000	0.00064152	0.080000	0.0007039	0.080000	1.20073e-06	
0.090000	0.000371986	0.090000	0.000731822	0.090000	0.000661351	0.090000	0.000661351	0.090000	0.000730735	0.090000	1.08642e-06	
0.100000	0.00036916	0.100000	0.000752087	0.100000	0.000676024	0.100000	0.000676024	0.100000	0.000751094	0.100000	9.93147e-07	
0.120000	0.000359236	0.120000	0.000776329	0.120000	0.000692725	0.120000	0.000692725	0.120000	0.000775479	0.120000	8.49791e-07	
0.140000	0.000347515	0.140000	0.000783516	0.140000	0.000696533	0.140000	0.000696533	0.140000	0.000782772	0.140000	7.44459e-07	
