Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0622382	0.001000	0.0298844	0.001000	0.0361209	0.001000	0.0361209	0.001000	0.0180655	0.001000	0.011819	
0.002000	0.0812432	0.002000	0.0409291	0.002000	0.0517211	0.002000	0.0517211	0.002000	0.0312625	0.002000	0.00966658	
0.005000	0.127186	0.005000	0.0676927	0.005000	0.0888333	0.005000	0.0888333	0.005000	0.061241	0.005000	0.00645174	
0.008000	0.161316	0.008000	0.088861	0.008000	0.117817	0.008000	0.117817	0.008000	0.0838813	0.008000	0.00497963	
0.010000	0.180011	0.010000	0.100984	0.010000	0.134339	0.010000	0.134339	0.010000	0.0966249	0.010000	0.00435897	
0.015000	0.229848	0.015000	0.13733	0.015000	0.169536	0.015000	0.169536	0.015000	0.133957	0.015000	0.00337318	
0.020000	0.271509	0.020000	0.169819	0.020000	0.199253	0.020000	0.199253	0.020000	0.167035	0.020000	0.00278413	
0.025000	0.307019	0.025000	0.198826	0.025000	0.225668	0.025000	0.225668	0.025000	0.196439	0.025000	0.00238699	
0.030000	0.337456	0.030000	0.224581	0.030000	0.246239	0.030000	0.246239	0.030000	0.222502	0.030000	0.00207916	
0.035000	0.363467	0.035000	0.247318	0.035000	0.264024	0.035000	0.264024	0.035000	0.245456	0.035000	0.00186172	
0.040000	0.385501	0.040000	0.267193	0.040000	0.279444	0.040000	0.279444	0.040000	0.265504	0.040000	0.00168932	
0.045000	0.403916	0.045000	0.284395	0.045000	0.292824	0.045000	0.292824	0.045000	0.282846	0.045000	0.00154892	
0.050000	0.419032	0.050000	0.299123	0.050000	0.304414	0.050000	0.304414	0.050000	0.297691	0.050000	0.0014321	
0.055000	0.431162	0.055000	0.311591	0.055000	0.314418	0.055000	0.314418	0.055000	0.310258	0.055000	0.00133322	
0.060000	0.440614	0.060000	0.322017	0.060000	0.323008	0.060000	0.323008	0.060000	0.320769	0.060000	0.00124833	
0.070000	0.452703	0.070000	0.337615	0.070000	0.336528	0.070000	0.336528	0.070000	0.336505	0.070000	0.00110979	
0.080000	0.457649	0.080000	0.347573	0.080000	0.345987	0.080000	0.345987	0.080000	0.346572	0.080000	0.00100122	
0.090000	0.457532	0.090000	0.353327	0.090000	0.352213	0.090000	0.352213	0.090000	0.352414	0.090000	0.000913624	
0.100000	0.454055	0.100000	0.35604	0.100000	0.355886	0.100000	0.355886	0.100000	0.355199	0.100000	0.0008413	
0.120000	0.44185	0.120000	0.355687	0.120000	0.357709	0.120000	0.357709	0.120000	0.354959	0.120000	0.000728537	
0.140000	0.427434	0.140000	0.35117	0.140000	0.354773	0.140000	0.354773	0.140000	0.350525	0.140000	0.000644356	
0.160000	0.413532	0.160000	0.344848	0.160000	0.34918	0.160000	0.34918	0.160000	0.344269	0.160000	0.000578892	
0.180000	0.401003	0.180000	0.337846	0.180000	0.342215	0.180000	0.342215	0.180000	0.33732	0.180000	0.000526395	
0.200000	0.389912	0.200000	0.330676	0.200000	0.334633	0.200000	0.334633	0.200000	0.330193	0.200000	0.000483274	
0.250000	0.367016	0.250000	0.313179	0.250000	0.315374	0.250000	0.315374	0.250000	0.312776	0.250000	0.000402748	
0.300000	0.348318	0.300000	0.296819	0.300000	0.297373	0.300000	0.297373	0.300000	0.296472	0.300000	0.000346605	
0.350000	0.331833	0.350000	0.281657	0.350000	0.281103	0.350000	0.281103	0.350000	0.281352	0.350000	0.000305048	
0.400000	0.316734	0.400000	0.267653	0.400000	0.266473	0.400000	0.266473	0.400000	0.26738	0.400000	0.000272949	
0.450000	0.302712	0.450000	0.254763	0.450000	0.253298	0.450000	0.253298	0.450000	0.254516	0.450000	0.000247351	
0.500000	0.289649	0.500000	0.24293	0.500000	0.241396	0.500000	0.241396	0.500000	0.242704	0.500000	0.000226424	
0.600000	0.266175	0.600000	0.222151	0.600000	0.220808	0.600000	0.220808	0.600000	0.221957	0.600000	0.000194177	
0.700000	0.245908	0.700000	0.204691	0.700000	0.203695	0.700000	0.203695	0.700000	0.204521	0.700000	0.000170417	
0.800000	0.22841	0.800000	0.189934	0.800000	0.189291	0.800000	0.189291	0.800000	0.189782	0.800000	0.000152131	
0.900000	0.213243	0.900000	0.17735	0.900000	0.177017	0.900000	0.177017	0.900000	0.177212	0.900000	0.000137592	
1.000000	0.200012	1.000000	0.166509	1.000000	0.166435	1.000000	0.166435	1.000000	0.166384	1.000000	0.000125737	
1.250000	0.173389	1.250000	0.145011	1.250000	0.145379	1.250000	0.145379	1.250000	0.144907	1.250000	0.000103815	
1.500000	0.153286	1.500000	0.128986	1.500000	0.129597	1.500000	0.129597	1.500000	0.128897	1.500000	8.87089e-05	
1.750000	0.137542	1.750000	0.116514	1.750000	0.117249	1.750000	0.117249	1.750000	0.116436	1.750000	7.76279e-05	
2.000000	0.124853	2.000000	0.106486	2.000000	0.107277	2.000000	0.107277	2.000000	0.106417	2.000000	6.91308e-05	
2.250000	0.114394	2.250000	0.0982233	2.250000	0.0990306	2.250000	0.0990306	2.250000	0.0981609	2.250000	6.23955e-05	
2.500000	0.10385	2.500000	0.0912815	2.500000	0.092082	2.500000	0.092082	2.500000	0.0912246	2.500000	5.69175e-05	
3.000000	0.0906449	3.000000	0.0802399	3.000000	0.0809924	3.000000	0.0809924	3.000000	0.0801914	3.000000	4.85294e-05	
3.500000	0.0806354	3.500000	0.0718256	3.500000	0.072513	3.500000	0.072513	3.500000	0.0717832	3.500000	4.23925e-05	
4.000000	0.0727631	4.000000	0.0651841	4.000000	0.0658043	4.000000	0.0658043	4.000000	0.0651464	4.000000	3.76966e-05	
4.500000	0.0663958	4.500000	0.059798	4.500000	0.0603547	4.500000	0.0603547	4.500000	0.0597641	4.500000	3.39811e-05	
5.000000	0.0611309	5.000000	0.0553347	5.000000	0.0558332	5.000000	0.0558332	5.000000	0.0553038	5.000000	3.09637e-05	
5.500000	0.056699	5.500000	0.05157	5.500000	0.052016	5.500000	0.052016	5.500000	0.0515416	5.500000	2.8462e-05	
6.000000	0.0529131	6.000000	0.0483473	6.000000	0.0487462	6.000000	0.0487462	6.000000	0.048321	6.000000	2.63522e-05	
6.500000	0.0496386	6.500000	0.045554	6.500000	0.0459107	6.500000	0.0459107	6.500000	0.0455294	6.500000	2.45476e-05	
7.000000	0.0467764	7.000000	0.0431067	7.000000	0.0434256	7.000000	0.0434256	7.000000	0.0430837	7.000000	2.29855e-05	
7.500000	0.0442517	7.500000	0.0409426	7.500000	0.0412277	7.500000	0.0412277	7.500000	0.040921	7.500000	2.16194e-05	
8.000000	0.042007	8.000000	0.0390136	8.000000	0.0392682	8.000000	0.0392682	8.000000	0.0389932	8.000000	2.04139e-05	
8.500000	0.0399972	8.500000	0.0372818	8.500000	0.0375088	8.500000	0.0375088	8.500000	0.0372624	8.500000	1.9342e-05	
9.000000	0.0381865	9.000000	0.0357172	9.000000	0.0359193	9.000000	0.0359193	9.000000	0.0356988	9.000000	1.83822e-05	
9.500000	0.0365462	9.500000	0.0342958	9.500000	0.0344753	9.500000	0.0344753	9.500000	0.0342783	9.500000	1.75175e-05	
10.000000	0.0350528	10.000000	0.0331465	10.000000	0.0331569	10.000000	0.0331569	10.000000	0.0331298	10.000000	1.67344e-05	
11.000000	0.032433	11.000000	0.0308317	11.000000	0.0307807	11.000000	0.0307828	11.000000	0.0308164	11.000000	1.53696e-05	
12.000000	0.0302082	12.000000	0.0288404	12.000000	0.028748	12.000000	0.0287514	12.000000	0.0288262	12.000000	1.42198e-05	
13.000000	0.0282938	13.000000	0.0271087	13.000000	0.026987	13.000000	0.0269908	13.000000	0.0270954	13.000000	1.32373e-05	
14.000000	0.026628	14.000000	0.0255884	14.000000	0.0254445	14.000000	0.0254481	14.000000	0.025576	14.000000	1.23874e-05	
15.000000	0.0251644	15.000000	0.0242427	15.000000	0.02408	15.000000	0.0240836	15.000000	0.0242311	15.000000	1.16447e-05	
16.000000	0.0238678	16.000000	0.0230428	16.000000	0.0228634	16.000000	0.0228669	16.000000	0.0230318	16.000000	1.09898e-05	
17.000000	0.0227106	17.000000	0.0219659	17.000000	0.0217713	17.000000	0.0217743	17.000000	0.0219555	17.000000	1.04078e-05	
18.000000	0.0216711	18.000000	0.0209939	18.000000	0.0207848	18.000000	0.0207871	18.000000	0.020984	18.000000	9.88692e-06	
19.000000	0.0207319	19.000000	0.0201118	19.000000	0.0198884	19.000000	0.0198901	19.000000	0.0201024	19.000000	9.41798e-06	
20.000000	0.0198788	20.000000	0.0193076	20.000000	0.0190694	20.000000	0.0190711	20.000000	0.0192987	20.000000	8.99342e-06	
21.000000	0.0191004	21.000000	0.0185714	21.000000	0.0183182	21.000000	0.0183201	21.000000	0.0185628	21.000000	8.60715e-06	
22.000000	0.0183871	22.000000	0.0178946	22.000000	0.0176272	22.000000	0.0176286	22.000000	0.0178864	22.000000	8.25412e-06	
23.000000	0.0177308	23.000000	0.0172703	23.000000	0.0169893	23.000000	0.0169897	23.000000	0.0172624	23.000000	7.93017e-06	
24.000000	0.0171249	24.000000	0.0166926	24.000000	0.016398	24.000000	0.0163974	24.000000	0.0166849	24.000000	7.63179e-06	
25.000000	0.0165637	25.000000	0.0161562	25.000000	0.0158482	25.000000	0.0158467	25.000000	0.0161489	25.000000	7.35602e-06	
27.000000	0.0155565	27.000000	0.015191	27.000000	0.0148571	27.000000	0.0148535	27.000000	0.0151842	27.000000	6.86264e-06	
