Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0277781	0.001000	0.0278096	0.001000	0.0360372	0.001000	0.0360372	0.001000	0.0242856	0.001000	0.00352399	
0.002000	0.0337663	0.002000	0.0338494	0.002000	0.042053	0.002000	0.042053	0.002000	0.0312794	0.002000	0.00256992	
0.005000	0.0448672	0.005000	0.0452735	0.005000	0.0527697	0.005000	0.0527697	0.005000	0.0437497	0.005000	0.00152385	
0.008000	0.0523494	0.008000	0.0531139	0.008000	0.059818	0.008000	0.059818	0.008000	0.0519894	0.008000	0.00112449	
0.010000	0.0563968	0.010000	0.0574005	0.010000	0.0635965	0.010000	0.0635965	0.010000	0.0564341	0.010000	0.000966385	
0.015000	0.0680901	0.015000	0.0658123	0.015000	0.0712533	0.015000	0.0712533	0.015000	0.0650897	0.015000	0.0007226	
0.020000	0.0776572	0.020000	0.0726043	0.020000	0.0773722	0.020000	0.0773722	0.020000	0.0720183	0.020000	0.000586014	
0.025000	0.0855648	0.025000	0.0782735	0.025000	0.0825462	0.025000	0.0825462	0.025000	0.0777784	0.025000	0.000495026	
0.030000	0.0920595	0.030000	0.0830855	0.030000	0.0862244	0.030000	0.0862244	0.030000	0.0826544	0.030000	0.000431177	
0.035000	0.0973029	0.035000	0.0871986	0.035000	0.0892953	0.035000	0.0892953	0.035000	0.0868155	0.035000	0.000383099	
0.040000	0.101422	0.040000	0.0907195	0.040000	0.091869	0.040000	0.091869	0.040000	0.090374	0.040000	0.000345459	
0.045000	0.104529	0.045000	0.0937258	0.045000	0.0940242	0.045000	0.0940242	0.045000	0.0934107	0.045000	0.000315109	
0.050000	0.106735	0.050000	0.0962772	0.050000	0.09582	0.050000	0.09582	0.050000	0.0959871	0.050000	0.000290066	
