Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0217109	0.001000	0.0270944	0.001000	0.0354291	0.001000	0.0354291	0.001000	0.0229095	0.001000	0.00418484	
0.002000	0.0255722	0.002000	0.0319283	0.002000	0.0398845	0.002000	0.0398845	0.002000	0.0291996	0.002000	0.00272872	
0.005000	0.0333574	0.005000	0.0416912	0.005000	0.0481723	0.005000	0.0481723	0.005000	0.0402398	0.005000	0.00145135	
0.008000	0.0387718	0.008000	0.0484537	0.008000	0.053565	0.008000	0.053565	0.008000	0.0474349	0.008000	0.00101883	
0.010000	0.0417262	0.010000	0.052148	0.010000	0.0564207	0.010000	0.0564207	0.010000	0.0512881	0.010000	0.000859862	
0.015000	0.0502992	0.015000	0.0601862	0.015000	0.0621157	0.015000	0.0621157	0.015000	0.0595587	0.015000	0.000627508	
0.020000	0.0573288	0.020000	0.0666859	0.020000	0.0665728	0.020000	0.0665728	0.020000	0.0661864	0.020000	0.000499508	
0.025000	0.0631445	0.025000	0.0721121	0.025000	0.0702816	0.025000	0.0702816	0.025000	0.0716946	0.025000	0.000417526	
0.030000	0.0679234	0.030000	0.0767073	0.030000	0.0738542	0.030000	0.0738542	0.030000	0.0763472	0.030000	0.000360139	
0.035000	0.0717823	0.035000	0.0806176	0.035000	0.0768396	0.035000	0.0768396	0.035000	0.0803001	0.035000	0.000317533	
0.040000	0.0748138	0.040000	0.0839406	0.040000	0.079337	0.040000	0.079337	0.040000	0.0836561	0.040000	0.000284543	
0.045000	0.077101	0.045000	0.086747	0.045000	0.0814185	0.045000	0.0814185	0.045000	0.0864889	0.045000	0.000258182	
0.050000	0.0787239	0.050000	0.089092	0.050000	0.0831397	0.050000	0.0831397	0.050000	0.0888554	0.050000	0.000236594	
0.055000	0.0797615	0.055000	0.0910208	0.055000	0.0845453	0.055000	0.0845453	0.055000	0.0908022	0.055000	0.000218564	
0.060000	0.0802914	0.060000	0.0925726	0.060000	0.0856723	0.060000	0.0856723	0.060000	0.0923694	0.060000	0.000203262	
0.070000	0.0801249	0.070000	0.0946827	0.070000	0.0872129	0.070000	0.0872129	0.070000	0.0945041	0.070000	0.000178646	
0.080000	0.07877	0.080000	0.0956715	0.080000	0.0879694	0.080000	0.0879694	0.080000	0.0955119	0.080000	0.000159666	
0.090000	0.076676	0.090000	0.0957574	0.090000	0.0881049	0.090000	0.0881049	0.090000	0.0956128	0.090000	0.000144553	
0.100000	0.0741834	0.100000	0.0951329	0.100000	0.0877511	0.100000	0.0877511	0.100000	0.0950007	0.100000	0.000132212	
0.120000	0.0688785	0.120000	0.0923984	0.120000	0.0859862	0.120000	0.0859862	0.120000	0.0922852	0.120000	0.000113227	
0.140000	0.0639036	0.140000	0.088513	0.140000	0.0833218	0.140000	0.0833218	0.140000	0.0884137	0.140000	9.92624e-05	
0.160000	0.0595847	0.160000	0.0841648	0.160000	0.080188	0.160000	0.080188	0.160000	0.0840763	0.160000	8.85301e-05	
0.180000	0.0559358	0.180000	0.0797663	0.180000	0.0768648	0.180000	0.0768648	0.180000	0.0796863	0.180000	8.00071e-05	
0.200000	0.0528655	0.200000	0.0755419	0.200000	0.0735288	0.200000	0.0735288	0.200000	0.0754688	0.200000	7.3064e-05	
0.250000	0.0470349	0.250000	0.0662862	0.250000	0.0657233	0.250000	0.0657233	0.250000	0.066226	0.250000	6.02431e-05	
0.300000	0.0428774	0.300000	0.0589644	0.300000	0.0590755	0.300000	0.0590755	0.300000	0.0589129	0.300000	5.14227e-05	
0.350000	0.0396851	0.350000	0.0532167	0.350000	0.0535889	0.350000	0.0535889	0.350000	0.0531717	0.350000	4.49608e-05	
0.400000	0.0370965	0.400000	0.0486422	0.400000	0.04908	0.400000	0.04908	0.400000	0.0486022	0.400000	4.00109e-05	
0.450000	0.0349179	0.450000	0.044929	0.450000	0.0453485	0.450000	0.0453485	0.450000	0.0448929	0.450000	3.60907e-05	
0.500000	0.0330375	0.500000	0.0418535	0.500000	0.0422245	0.500000	0.0422245	0.500000	0.0418205	0.500000	3.29046e-05	
0.600000	0.029916	0.600000	0.0370331	0.600000	0.0373002	0.600000	0.0373002	0.600000	0.0370051	0.600000	2.80306e-05	
0.700000	0.0274 	0.700000	0.033394	0.700000	0.0335861	0.700000	0.0335861	0.700000	0.0333695	0.700000	2.44683e-05	
0.800000	0.0253133	0.800000	0.0305196	0.800000	0.0306678	0.800000	0.0306678	0.800000	0.0304978	0.800000	2.17449e-05	
0.900000	0.0235476	0.900000	0.0281728	0.900000	0.0282996	0.900000	0.0282996	0.900000	0.0281532	0.900000	1.95915e-05	
1.000000	0.0220308	1.000000	0.0262089	1.000000	0.0263287	1.000000	0.0263287	1.000000	0.026191	1.000000	1.78439e-05	
1.250000	0.0190243	1.250000	0.0224281	1.250000	0.0225613	1.250000	0.0225613	1.250000	0.0224135	1.250000	1.46335e-05	
1.500000	0.0167845	1.500000	0.0196839	1.500000	0.0198445	1.500000	0.0198445	1.500000	0.0196714	1.500000	1.24386e-05	
1.750000	0.0150459	1.750000	0.0175841	1.750000	0.017772	1.750000	0.017772	1.750000	0.0175733	1.750000	1.08385e-05	
2.000000	0.013654	2.000000	0.0159179	2.000000	0.0161289	2.000000	0.0161289	2.000000	0.0159083	2.000000	9.61771e-06	
2.250000	0.0125126	2.250000	0.0145594	2.250000	0.014789	2.250000	0.014789	2.250000	0.0145507	2.250000	8.65417e-06	
2.500000	0.0115082	2.500000	0.0134282	2.500000	0.0136724	2.500000	0.0136724	2.500000	0.0134204	2.500000	7.87336e-06	
3.000000	0.0100487	3.000000	0.0116477	3.000000	0.0119115	3.000000	0.0119115	3.000000	0.011641	3.000000	6.68314e-06	
3.500000	0.00894107	3.500000	0.0103056	3.500000	0.0105804	3.500000	0.0105804	3.500000	0.0102998	3.500000	5.81683e-06	
4.000000	0.00806927	4.000000	0.00925512	4.000000	0.00953515	4.000000	0.00953515	4.000000	0.00924996	4.000000	5.15674e-06	
4.500000	0.00736381	4.500000	0.00840883	4.500000	0.00869058	4.500000	0.00869058	4.500000	0.0084042	4.500000	4.63632e-06	
5.000000	0.0067803	5.000000	0.0077115	5.000000	0.00799268	5.000000	0.00799268	5.000000	0.00770728	5.000000	4.21499e-06	
5.500000	0.00628901	5.500000	0.0071263	5.500000	0.00740544	5.500000	0.00740544	5.500000	0.00712244	5.500000	3.8666e-06	
6.000000	0.00586925	6.000000	0.00662777	6.000000	0.00690391	6.000000	0.00690391	6.000000	0.00662419	6.000000	3.5735e-06	
6.500000	0.00550616	6.500000	0.00619764	6.500000	0.00647018	6.500000	0.00647018	6.500000	0.00619432	6.500000	3.32333e-06	
7.000000	0.00518876	7.000000	0.00582251	7.000000	0.00609108	7.000000	0.00609108	7.000000	0.00581941	7.000000	3.10721e-06	
7.500000	0.00490876	7.500000	0.0054923	7.500000	0.00575667	7.500000	0.00575667	7.500000	0.00548938	7.500000	2.91853e-06	
8.000000	0.0046598	8.000000	0.00519924	8.000000	0.00545932	8.000000	0.00545932	8.000000	0.00519649	8.000000	2.75232e-06	
8.500000	0.00443689	8.500000	0.0049373	8.500000	0.00519306	8.500000	0.00519306	8.500000	0.0049347	8.500000	2.60473e-06	
9.000000	0.00423606	9.000000	0.0047017	9.000000	0.00495314	9.000000	0.00495314	9.000000	0.00469923	9.000000	2.47278e-06	
9.500000	0.00405412	9.500000	0.00448858	9.500000	0.00473576	9.500000	0.00473576	9.500000	0.00448622	9.500000	2.35406e-06	
10.000000	0.00388847	10.000000	0.00444639	10.000000	0.00453782	10.000000	0.00453782	10.000000	0.00444415	10.000000	2.24665e-06	
11.000000	0.00359787	11.000000	0.00412025	11.000000	0.00418631	11.000000	0.00418634	11.000000	0.00411819	11.000000	2.0598e-06	
12.000000	0.00335108	12.000000	0.0038418	12.000000	0.00388836	12.000000	0.00388842	12.000000	0.00383989	12.000000	1.90271e-06	
