Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	6.55588e-05	0.001000	8.86718e-05	0.001000	9.30638e-05	0.001000	9.30638e-05	0.001000	3.28191e-05	0.001000	5.58527e-05	
0.002000	6.5901e-05	0.002000	8.73453e-05	0.002000	9.38681e-05	0.002000	9.38681e-05	0.002000	4.25737e-05	0.002000	4.47716e-05	
0.005000	6.9691e-05	0.005000	8.92671e-05	0.005000	0.000100303	0.005000	0.000100303	0.005000	6.00554e-05	0.005000	2.92117e-05	
0.008000	7.46193e-05	0.008000	9.39857e-05	0.008000	0.000108443	0.008000	0.000108443	0.008000	7.16469e-05	0.008000	2.23388e-05	
0.010000	7.78705e-05	0.010000	9.73887e-05	0.010000	0.000113822	0.010000	0.000113822	0.010000	7.7909e-05	0.010000	1.94797e-05	
0.015000	8.56279e-05	0.015000	0.000108414	0.015000	0.000127049	0.015000	0.000127049	0.015000	9.34317e-05	0.015000	1.49821e-05	
0.020000	9.41919e-05	0.020000	0.00012292	0.020000	0.000142509	0.020000	0.000142509	0.020000	0.0001106 	0.020000	1.23194e-05	
0.025000	0.000105376	0.025000	0.000140066	0.025000	0.000158406	0.025000	0.000158406	0.025000	0.000129585	0.025000	1.04804e-05	
0.030000	0.000116373	0.030000	0.000157308	0.030000	0.000175699	0.030000	0.000175699	0.030000	0.000148148	0.030000	9.16023e-06	
0.035000	0.000126941	0.035000	0.000174386	0.035000	0.000192757	0.035000	0.000192757	0.035000	0.000166198	0.035000	8.18813e-06	
0.040000	0.00013699	0.040000	0.000191077	0.040000	0.000209405	0.040000	0.000209405	0.040000	0.000183657	0.040000	7.41968e-06	
0.045000	0.000146464	0.045000	0.000207255	0.045000	0.000225557	0.045000	0.000225557	0.045000	0.00020046	0.045000	6.79525e-06	
0.050000	0.000154281	0.050000	0.000221215	0.050000	0.000241152	0.050000	0.000241152	0.050000	0.000214938	0.050000	6.27672e-06	
0.055000	0.000163329	0.055000	0.000235863	0.055000	0.000256148	0.055000	0.000256148	0.055000	0.000230025	0.055000	5.83851e-06	
